GFA00,FF6A13FF,Orange,10300
GFA00,FF9016FF,Pumpkin Orange,10301
GFA00,5B6579FF,Blue Gray,10602
GFA00,0056B8FF,Cobalt Blue,10604
GFA00,00B1B7FF,Turquoise,10605
GFA00,0086D6FF,Cyan,10603
GFA00,0A2989FF,Blue,10601
GFA00,8E9089FF,Gray,10103
GFA00,A6A9AAFF,Silver,10102
GFA00,D1D3D5FF,Light Gray,10104
GFA00,545454FF,Dark Gray,10105
GFA00,164B35FF,Green,10500
GFA00,3F8E43FF,Mistletoe Green,10502
GFA00,BECF00FF,Bright Green,10503
GFA00,00AE42FF,Bambu Green,10501
GFA00,000000FF,Black,10101
GFA00,FFFFFFFF/9CDBD9FF,Arctic Whisper,10900
GFA00,E94B3CFF/FFFFFFFF,Solar Breeze,10901
GFA00,307FE2FF/54FF9BFF,Ocean to Meadow,10902
GFA00,F78F77FF/E4505AFF,Pink Citrus,10903
GFA00,4EC939FF/B6FF43FF,Mint Lime,10904
GFA00,6FCAEFFF/8573DDFF,Blueberry Bubblegum,10905
GFA00,CE4406FF/ED9558FF,Dusk Glare,10906
GFA00,8EC9E9FF/E7C1D5FF,Cotton Candy Cloud,10907
GFA00,9D432CFF,Brown,10800
GFA00,6F5034FF,Cocoa Brown,10802
GFA00,F7E6DEFF,Beige,10201
GFA00,F55A74FF,Pink,10203
GFA00,482960FF,Indigo Purple,10701
GFA00,5E43B7FF,Purple,10700
GFA00,EC008CFF,Magenta,10202
GFA00,C12E1FFF,Red,10200
GFA00,9D2235FF,Maroon Red,10205
GFA00,F5547CFF,Hot Pink,10204
GFA00,FFFFFFFF,Jade White,10100
GFA00,F4EE2AFF,Yellow,10400
GFA00,FEC600FF,Sunflower Yellow,10402
GFA00,847D48FF,Bronze,10801
GFA00,E4BD68FF,Gold,10401
GFA01,F99963FF,Mandarin Orange,11300
GFA01,56B7E6FF,Sky Blue,11603
GFA01,0078BFFF,Marine Blue,11600
GFA01,A3D8E1FF,Ice Blue,11601
GFA01,042F56FF,Dark Blue,11602
GFA01,757575FF,Nardo Gray,11104
GFA01,9B9EA0FF,Ash Gray,11102
GFA01,C2E189FF,Apple Green,11502
GFA01,61C680FF,Grass Green,11500
GFA01,68724DFF,Dark Green,11501
GFA01,000000FF,Charcoal,11101
GFA01,4D3324FF,Dark Chocolate,11802
GFA01,D3B7A7FF,Latte Brown,11800
GFA01,7D6556FF,Dark Brown,11801
GFA01,AE835BFF,Caramel,11803
GFA01,E8AFCFFF,Sakura Pink,11201
GFA01,AE96D4FF,Lilac Purple,11700
GFA01,DE4343FF,Scarlet Red,11200
GFA01,B15533FF,Terracotta,11203
GFA01,950051FF,Plum,11204
GFA01,BB3D43FF,Dark Red,11202
GFA01,FFFFFFFF,Ivory White,11100
GFA01,CBC6B8FF,Bone White,11103
GFA01,F7D959FF,Lemon Yellow,11400
GFA01,E8DBB7FF,Desert Tan,11401
GFA05,147BD1FF,Blue,13601
GFA05,EAECEBFF,Silver,13104
GFA05,4CE4A0FF,Green,13502
GFA05,5E4B3CFF,Copper,13300
GFA05,EEB1C1FF,Pink,13202
GFA05,854CE4FF,Purple,13701
GFA05,FF9425FF/C16784FF,Gilded Rose,13901
GFA05,0047BBFF/7D1B49FF,Midnight Blaze,13902
GFA05,BB22A3FF/0047BBFF,Neon City,13903
GFA05,70C884FF/418FDEFF,Blue Hawaii,13904
GFA05,000000FF/A34342FF,Velvet Eclipse (Black-Red),13905
GFA05,FFFFFFFF,White,13105
GFA05,E5B03DFF,Gold,13401
GFA06,A8C6EEFF,Baby Blue,13603
GFA06,008BDAFF,Blue,13604
GFA06,5F6367FF,Titan Gray,13108
GFA06,C8C8C8FF,Silver,13109
GFA06,018814FF,Candy Green,13506
GFA06,96DCB9FF,Mint,13507
GFA06,8671CBFF,Purple,13702
GFA06,D02727FF,Candy Red,13205
GFA06,BA9594FF,Rose Gold,13206
GFA06,F7ADA6FF,Pink,13207
GFA06,FFFFFFFF,White,13110
GFA06,F3CFB2FF,Champagne,13404
GFA06,F4A925FF,Gold,13405
GFA07,F7F3F0FF,White Marble,13103
GFA07,AD4E38FF,Red Granite,13201
GFA08,483D8BFF,Royal Purple Sparkle,13700
GFA08,8E9089FF,Slate Gray Sparkle,13102
GFA08,3F5443FF,Alpine Green Sparkle,13501
GFA08,2D2B28FF,Onyx Black Sparkle,13101
GFA08,792B36FF,Crimson Red Sparkle,13200
